# {"t_start": 1574979765.983704} 
r,l,t
178.38847,201,2.281421
211.18617,201,2.281532
209.2666,201,2.281572
176.69225,201,2.281601
211.64914,201,2.281628
226.20258,201,2.281654
229.59193,201,2.281679
175.55473,201,2.281704
216.6806,201,2.281729
206.52971,201,2.281753
213.82198,201,2.281777
205.62764,201,2.281802
175.10506,201,2.781177
215.14484,201,2.781265
214.58891,201,2.7813
218.51254,201,2.781328
232.6819,201,2.781354
222.8635,201,2.78138
222.16896,201,2.781405
214.55806,201,2.78143
226.75833,201,2.781455
210.15828,201,2.78148
177.50165,201,2.781505
223.56287,201,2.78153
176.9671,201,3.275543
180.2375,201,3.275631
203.88362,201,3.275669
224.76782,201,3.275699
224.24146,201,3.275726
214.68236,201,3.275752
240.63654,201,3.275778
209.91064,201,3.275804
223.20723,201,3.275829
177.37442,201,3.275854
179.32008,201,3.275878
222.38681,201,3.275903
220.81151,201,3.776146
230.13368,201,3.776219
180.38066,201,3.776273
175.36342,201,3.7763
179.7748,201,3.776327
218.9804,201,3.776353
178.54657,201,3.776378
173.25146,201,3.776403
223.1521,201,3.776429
207.5203,201,3.776465
215.10643,201,3.776491
226.8335,201,3.776518
179.29042,201,4.276641
216.46031,201,4.276728
178.37117,201,4.276766
235.37169,201,4.276796
211.23914,201,4.276824
201.88129,201,4.276851
216.39503,201,4.276878
173.42937,201,4.276903
224.28183,201,4.276929
175.77913,201,4.276955
240.33084,201,4.276981
173.56746,201,4.277006
216.89337,201,4.771138
220.63422,201,4.771225
173.96614,201,4.771263
230.4047,201,4.771292
229.86395,201,4.771319
209.9745,201,4.771345
180.37276,201,4.77137
178.82178,201,4.771396
210.33969,201,4.771421
209.76337,201,4.771446
176.97739,201,4.771471
231.90848,201,4.771496
242.41367,201,5.269884
210.87999,201,5.269972
202.93262,201,5.270006
173.74675,201,5.270033
221.80011,201,5.27006
212.16595,201,5.270086
224.06824,201,5.270111
222.9392,201,5.270137
177.25703,201,5.270162
180.75758,201,5.270186
215.82803,201,5.270211
222.71071,201,5.270235
221.42346,201,5.771713
181.93053,201,5.7718
201.48808,201,5.771838
233.34111,201,5.771866
177.78725,201,5.771893
217.42781,201,5.771919
215.17911,201,5.771944
223.59894,201,5.771968
178.98387,201,5.771993
207.42308,201,5.772018
239.20961,201,5.772042
220.0431,201,5.772066
208.90439,201,6.269978
223.78268,201,6.270068
212.0826,201,6.270106
215.72041,201,6.270135
230.42856,201,6.270163
174.1494,201,6.270189
210.1819,201,6.270215
216.40993,201,6.27024
217.76718,201,6.270266
228.20045,201,6.270291
210.28542,201,6.270316
217.88536,201,6.270341
229.94548,201,6.770687
202.15672,201,6.770776
176.66281,201,6.770814
177.30927,201,6.770843
176.96562,201,6.770871
180.60773,201,6.770897
178.95905,201,6.770923
208.72168,201,6.770949
221.67786,201,6.770974
241.43288,201,6.771
238.09624,201,6.771025
175.02686,201,6.77105
215.80038,201,7.26595
206.2958,201,7.26604
211.15816,201,7.266076
177.74916,201,7.266106
204.67635,201,7.266133
210.99995,201,7.266159
208.77913,201,7.266185
239.99913,201,7.266219
173.72324,201,7.266246
216.82712,201,7.266271
175.79079,201,7.266296
182.85707,201,7.266321
176.60388,201,7.76275
221.01523,201,7.762837
176.3855,201,7.762872
228.3969,201,7.762899
231.44954,201,7.762925
241.61092,201,7.762951
213.77286,201,7.762976
180.4937,201,7.763001
177.8544,201,7.763025
228.82367,201,7.76305
176.03113,201,7.763075
221.12134,201,7.763099
175.49338,201,8.262747
174.17682,201,8.262836
227.5112,201,8.262874
213.03957,201,8.262903
225.85724,201,8.262931
